risques_encourus_par_le_consommateur,Nombre_de_risques_encourus,Nombre_de_preconisations_distinctes
,8042,40
0251741499,1,1
0321433304,1,1
0359305930,1,1
0610100493,1,1
06200DC0-BF00-48D1-A4ED-B632FE6ED5B6,1,1
0800084000,1,1
0891A9C9-D201-40F8-A4BC-0B2D2294AA25,1,1
10F0EF28-89CE-4740-A534-91FE86373E91,1,1
151598C4-1D72-4693-BC13-FE02AD2F5EE0,1,1
1C8AC596-81F9-4D6E-AB91-05C02949510D,1,1
2021-03-26,1,0
2021-03-31,5,0
2021-04-07,2,0
2021-04-09,1,0
2021-04-12,1,0
2021-04-14,1,0
2021-04-15,3,0
2021-04-16,2,0
2021-04-22,1,0
2021-04-27,1,0
2021-04-29,1,0
2021-04-30,8,0
2021-05-03,2,0
2021-05-04,1,0
2021-05-12,1,0
2021-05-17,7,0
2021-05-21,2,0
2021-05-28,1,0
2021-05-31,1,0
2021-06-04,2,0
2021-06-07,1,0
2021-06-09,1,0
2021-06-10,3,0
2021-06-11,2,0
2021-06-14,19,0
2021-06-15,1,0
2021-06-16,2,0
2021-06-17,3,0
2021-06-21,2,0
2021-06-22,2,0
2021-06-24,1,0
2021-06-25,1,0
2021-06-28,2,0
2021-06-30,1,0
2021-07-01,1,0
2021-07-02,1,0
2021-07-05,3,0
2021-07-06,2,0
2021-07-09,4,0
2021-07-12,1,0
2021-07-13,1,0
2021-07-14,1,0
2021-07-16,2,0
2021-07-19,2,0
2021-07-22,1,0
2021-07-23,2,0
2021-07-26,13,0
2021-07-28,17,0
2021-07-29,9,0
2021-07-30,4,0
2021-08-02,1,0
2021-08-04,2,0
2021-08-05,3,0
2021-08-06,2,0
2021-08-09,10,0
2021-08-10,3,0
2021-08-11,1,0
2021-08-12,2,0
2021-08-13,2,0
2021-08-16,2,0
2021-08-18,1,0
2021-08-20,2,0
2021-08-23,1,0
2021-08-30,2,0
2021-08-31,1,0
2021-09-02,3,0
2021-09-03,1,0
2021-09-08,1,0
2021-09-09,1,0
2021-09-10,4,0
2021-09-14,1,0
2021-09-20,1,0
2021-09-21,1,0
2021-09-22,2,0
2021-09-23,9,0
2021-09-24,1,0
2021-09-28,1,0
2021-09-29,1,0
2021-10-01,1,0
2021-10-04,1,0
2021-10-05,2,0
2021-10-07,1,0
2021-10-11,2,0
2021-10-13,2,0
2021-10-14,1,0
2021-10-15,3,0
2021-10-18,1,0
2021-10-20,10,0
2021-10-21,1,0
2021-10-22,3,0
2021-10-26,3,0
2021-10-27,1,0
2021-10-29,1,0
2021-11-05,1,0
2021-11-09,1,0
2021-11-10,2,0
2021-11-12,1,0
2021-11-15,5,0
2021-11-16,2,0
2021-11-17,1,0
2021-11-18,1,0
2021-11-23,1,0
2021-11-24,1,0
2021-12-02,1,0
2021-12-03,6,0
2021-12-07,2,0
2021-12-08,2,0
2021-12-09,3,0
2021-12-10,2,0
2021-12-17,1,0
2021-12-21,2,0
2021-12-24,4,0
2022-01-04,1,0
2022-01-12,1,0
2022-01-13,1,0
2022-01-14,1,0
2022-01-19,9,0
2022-01-20,40,0
2022-01-21,3,0
2022-01-24,1,0
2022-01-25,1,0
2022-01-26,1,0
2022-01-27,1,0
2022-01-31,1,0
2022-02-01,1,0
2022-02-02,1,0
2022-02-03,9,0
2022-02-04,1,0
2022-02-08,2,0
2022-02-09,1,0
2022-02-10,1,0
2022-02-14,1,0
2022-02-15,4,0
2022-02-21,1,0
2022-02-25,1,0
2022-02-28,4,0
2022-03-01,4,0
2022-03-07,1,0
2022-03-11,1,0
2022-03-14,5,0
2022-03-15,1,0
2022-03-18,1,0
2022-03-22,1,0
2022-03-24,2,0
2022-03-28,1,0
2022-03-31,1,0
2022-04-01,3,0
2022-04-07,1,0
2022-04-12,1,0
2022-04-13,1,0
2022-04-20,3,0
2022-04-22,21,0
2022-04-25,1,0
2022-04-26,1,0
2022-04-28,1,0
2022-04-29,3,0
2022-05-02,2,0
2022-05-05,5,0
2022-05-06,1,0
2022-05-09,1,0
2022-05-10,1,0
2022-05-11,1,0
2022-05-12,1,0
2022-05-16,1,0
2022-05-17,1,0
2022-05-20,4,0
2022-05-23,1,0
2022-05-25,1,0
2022-06-07,2,0
2022-06-09,1,0
2022-06-10,1,0
2022-06-13,2,0
2022-06-14,1,0
2022-06-17,1,0
2022-06-20,1,0
2022-06-24,1,0
2022-06-29,1,0
2022-06-30,2,0
2022-07-04,1,0
2022-07-06,1,0
2022-07-07,1,0
2022-07-08,2,0
2022-07-11,2,0
2022-07-12,1,0
2022-07-13,3,0
2022-07-19,1,0
2022-07-20,1,0
2022-07-21,1,0
2022-07-26,1,0
2022-07-29,2,0
2022-08-01,2,0
2022-08-02,1,0
2022-08-03,1,0
2022-08-04,7,0
2022-08-05,1,0
2022-08-08,1,0
2022-08-10,2,0
2022-08-12,4,0
2022-08-17,1,0
2022-08-19,6,0
2022-08-22,4,0
2022-08-23,5,0
2022-08-24,1,0
2022-09-01,1,0
2022-09-02,1,0
2022-09-05,1,0
2022-09-07,2,0
2022-09-08,1,0
2022-09-09,1,0
2022-09-13,2,0
2022-09-16,1,0
2022-09-19,2,0
2022-09-20,1,0
2022-09-21,1,0
2022-09-23,3,0
2022-09-26,1,0
2022-09-27,2,0
2022-09-29,1,0
2022-10-10,1,0
2022-10-11,2,0
2022-10-12,1,0
2022-10-13,1,0
2022-10-14,1,0
2022-10-17,1,0
2022-10-19,1,0
2022-10-20,1,0
2022-10-24,1,0
2022-10-25,3,0
2022-10-26,2,0
2022-11-04,3,0
2022-11-05,1,0
2022-11-08,2,0
2022-11-09,1,0
2022-11-16,1,0
2022-11-21,1,0
2022-11-22,1,0
2022-11-23,1,0
2022-11-24,1,0
2022-11-28,3,0
2022-11-29,1,0
2022-11-30,1,0
2022-12-01,2,0
2022-12-09,1,0
2022-12-13,1,0
2022-12-14,1,0
2022-12-16,2,0
2022-12-21,2,0
2022-12-26,1,0
2022-12-29,1,0
2022-12-30,6,0
2023-01-01,1,0
2023-01-02,1,0
2023-01-03,1,0
2023-01-04,1,0
2023-01-06,1,0
2023-01-13,1,0
2023-01-14,1,0
2023-01-16,1,0
2023-01-23,1,0
2023-01-24,2,0
2023-01-25,1,0
2023-01-27,2,0
2023-02-01,1,0
2023-02-02,2,0
2023-02-04,2,0
2023-02-07,2,0
2023-02-10,1,0
2023-02-13,1,0
2023-02-15,2,0
2023-02-16,1,0
2023-02-17,1,0
2023-02-22,1,0
2023-02-23,3,0
2023-02-24,1,0
2023-02-28,4,0
2023-03-02,6,0
2023-03-03,1,0
2023-03-13,1,0
2023-03-14,1,0
2023-03-16,1,0
2023-03-17,1,0
2023-03-20,1,0
2023-03-24,4,0
2023-03-29,1,0
2023-03-31,1,0
2023-04-04,5,0
2023-04-06,1,0
2023-04-07,1,0
2023-04-11,2,0
2023-04-13,2,0
2023-04-18,3,0
2023-04-21,1,0
2023-04-28,2,0
2023-05-02,1,0
2023-05-09,3,0
2023-05-10,2,0
2023-05-11,1,0
2023-05-12,13,0
2023-05-13,2,0
2023-05-15,1,0
2023-05-18,2,0
2023-05-19,1,0
2023-05-22,1,0
2023-05-26,1,0
2023-05-27,1,0
2023-06-01,3,0
2023-06-05,1,0
2023-06-06,2,0
2023-06-07,1,0
2023-06-08,3,0
2023-06-09,3,0
2023-06-12,1,0
2023-06-14,1,0
2023-06-16,6,0
2023-06-20,6,0
2023-06-21,1,0
2023-06-23,4,0
2023-06-26,2,0
2023-06-27,1,0
2023-06-29,2,0
2023-06-30,3,0
2023-07-03,3,0
2023-07-04,1,0
2023-07-05,1,0
2023-07-10,1,0
2023-07-11,3,0
2023-07-13,4,0
2023-07-18,2,0
2023-07-19,1,0
2023-07-20,2,0
2023-07-21,6,0
2023-07-28,3,0
2023-07-31,1,0
2023-08-01,1,0
2023-08-04,1,0
2023-08-11,2,0
2023-08-23,1,0
2023-08-24,1,0
2023-08-26,2,0
2023-08-28,1,0
2023-08-30,1,0
2023-09-01,1,0
2023-09-04,1,0
2023-09-11,1,0
2023-09-12,4,0
2023-09-14,1,0
2023-09-15,8,0
2023-09-20,1,0
2023-09-22,1,0
2023-09-26,1,0
2023-09-28,1,0
2023-10-04,13,0
2023-10-05,1,0
2023-10-06,1,0
2023-10-09,1,0
2023-10-10,6,0
2023-10-11,1,0
2023-10-12,1,0
2023-10-18,1,0
2023-10-23,1,0
2023-10-24,1,0
2023-10-30,1,0
2023-10-31,4,0
2023-11-02,1,0
2023-11-03,3,0
2023-11-06,1,0
2023-11-08,1,0
2023-11-10,3,0
2023-11-13,13,0
2023-11-14,2,0
2023-11-16,2,0
2023-11-17,8,0
2023-11-22,1,0
2023-11-23,1,0
2023-11-24,1,0
2023-11-27,1,0
2023-11-28,1,0
2023-11-30,1,0
2023-12-04,1,0
2023-12-07,1,0
2023-12-08,4,0
2023-12-13,4,0
2023-12-18,3,0
2023-12-19,1,0
2023-12-20,1,0
2023-12-21,2,0
2023-12-22,2,0
2023-12-27,2,0
2023-12-28,1,0
2023-12-29,6,0
2024-01-05,1,0
2024-01-10,2,0
2024-01-12,7,0
2024-02-06,1,0
2024-02-08,2,0
2024-02-12,1,0
2024-02-13,1,0
2024-02-14,15,0
2024-02-16,2,0
2024-02-19,1,0
2024-02-21,3,0
2024-02-22,6,0
2024-02-23,1,0
2024-02-27,2,0
2024-02-28,2,0
2024-02-29,1,0
